티커,현재가,RSI,MFI,CCI,"추정수급(5일,만주)",거래량비율(5일평균대비),당일거래대금(억),이평선추세,MACD에너지,ADX(추세강도),종합점수
040910,4900,45.18,44.86,-14.34,14.4,32.93,0.54,하락/역배열,골든크로스(0이하),57.83,54.51
011780,132900,42.91,42.87,3.47,2.6,33.26,35.9,하락/역배열,골든크로스(0이하),27.93,54.45
023590,39700,44.16,46.03,-12.56,30.7,21.2,5.65,하락/역배열,골든크로스(0이하),8.76,54.32
028670,5430,45.48,41.88,-0.89,237.9,33.08,41.91,하락/역배열,골든크로스(0이하),37.48,54.29
025880,2570,50.77,34.58,7.29,12.4,21.98,0.27,하락/역배열,골든크로스(0이하),31.29,54.28
007070,25000,40.29,46.78,0.82,89.2,13.52,6.38,하락/역배열,하락추세,28.59,54.24
053060,1382,43.26,34.36,38.69,31.5,26.01,0.38,상승전환,상승(0이상),17.55,54.24
052690,136000,46.9,35.55,20.89,-44.1,24.85,75.97,하락/역배열,골든크로스(0이하),28.61,54.11
084670,35400,37.68,72.39,-89.13,-14.4,28.26,7.99,하락/역배열,하락추세,25.04,54.07
298050,206000,43.23,46.51,-7.4,5.6,16.46,4.06,하락/역배열,골든크로스(0이하),40.95,54.04
339770,4045,48.98,47.23,-33.13,-34.2,15.48,1.76,하락/역배열,골든크로스(0이하),53.84,54.02
000880,129800,37.06,46.16,20.04,8.2,82.51,198.08,정배열,하락추세,35.77,53.92
000120,85900,50.24,28.37,38.53,8.2,19.33,9.23,하락/역배열,골든크로스(0이하),59.76,53.92
053610,84800,48.49,36.5,13.08,9.5,29.82,15.76,정배열,상승(0이상),23.96,53.91
051600,52400,50.13,34.28,15.74,19.5,20.44,32.11,하락/역배열,골든크로스(0이하),35.06,53.88
032190,19980,45.64,44.46,-5.83,50.0,20.24,4.4,하락/역배열,골든크로스(0이하),30.79,53.78
036810,32100,46.48,43.49,-4.71,50.1,37.06,18.26,하락/역배열,골든크로스(0이하),18.33,53.74
051900,242000,41.86,60.31,-52.15,21.5,21.64,28.67,하락/역배열,하락추세,30.95,53.62
134380,10290,44.29,54.15,-35.76,0.2,34.27,0.1,하락/역배열,골든크로스(0이하),43.57,53.5
000070,57100,48.31,35.37,23.98,3.5,21.64,0.94,하락/역배열,골든크로스(0이하),49.47,53.44
024900,1951,47.38,35.51,27.14,46.2,63.89,1.15,하락/역배열,골든크로스(0이하),30.85,53.44
036570,259500,44.04,65.06,-75.76,-1.5,19.03,54.34,하락/역배열,하락추세,26.73,53.28
058470,94700,44.6,63.51,-68.74,969.1,10.19,323.79,하락/역배열,골든크로스(0이하),53.93,53.02
128940,437500,39.6,62.12,-38.92,7.1,66.07,300.05,하락/역배열,하락추세,32.36,52.67
102940,51100,42.37,50.43,-1.66,7.5,41.68,4.06,하락/역배열,골든크로스(0이하),14.57,52.54
034020,104000,45.58,40.67,26.01,704.3,46.95,1274.45,하락/역배열,골든크로스(0이하),24.96,52.42
214150,45300,42.32,56.17,-22.15,52.6,13.7,21.17,하락/역배열,골든크로스(0이하),21.2,52.35
002960,502000,47.35,49.48,-15.22,0.9,8.43,1.13,하락/역배열,골든크로스(0이하),51.61,52.32
045100,31850,45.07,40.88,29.24,32.3,30.79,11.77,하락/역배열,상승(0이상),22.35,52.25
012630,21600,47.55,36.78,38.33,11.3,32.36,5.66,하락/역배열,골든크로스(0이하),33.1,52.03
003470,5360,47.68,44.11,9.46,237.8,37.19,14.39,하락/역배열,골든크로스(0이하),19.95,51.95
000210,54500,45.97,40.79,30.24,25.7,15.03,8.45,하락/역배열,골든크로스(0이하),16.25,51.89
003540,30550,43.66,52.56,-7.49,80.4,13.59,8.85,하락/역배열,골든크로스(0이하),36.33,51.88
120110,72400,46.2,44.85,16.98,85.6,14.98,31.51,하락/역배열,골든크로스(0이하),32.82,51.57
007310,332000,43.97,53.65,-9.07,0.9,16.46,3.61,하락/역배열,골든크로스(0이하),18.0,51.55
011170,79500,46.86,50.08,-4.38,28.0,38.69,44.64,하락/역배열,골든크로스(0이하),42.36,51.38
046440,4255,49.17,45.36,8.72,-1.4,29.18,1.05,하락/역배열,골든크로스(0이하),35.83,51.1
036120,1680,46.96,49.41,2.38,-23.6,35.25,0.94,하락/역배열,골든크로스(0이하),28.26,51.01
014830,70800,50.58,41.48,20.06,8.3,6.33,1.35,하락/역배열,골든크로스(0이하),20.84,50.97
265520,24750,41.87,47.03,33.83,9.1,75.07,16.33,정배열,골든크로스(0이하),21.63,50.88
134580,1320,44.64,52.67,1.64,4.0,34.57,0.12,하락/역배열,골든크로스(0이하),52.08,50.76
267250,274000,44.16,46.42,29.04,37.2,20.47,84.72,정배열,골든크로스(0이하),15.11,50.72
043590,1009,26.67,83.65,-49.01,-1.0,21.51,0.09,하락/역배열,하락추세,78.5,50.65
181710,38750,51.37,61.11,-57.16,-81.5,13.81,9.23,하락/역배열,하락추세,12.99,50.6
023160,34350,47.66,40.53,41.21,67.4,122.61,151.69,하락/역배열,골든크로스(0이하),31.37,50.5
042000,19860,49.26,57.37,-32.1,7.8,26.86,5.09,하락/역배열,골든크로스(0이하),15.84,50.47
041510,82200,48.28,47.95,10.08,27.4,11.77,17.85,하락/역배열,골든크로스(0이하),20.76,50.41
012450,1244000,50.0,33.56,61.45,68.8,60.62,1689.51,하락/역배열,골든크로스(0이하),34.96,50.36
014820,21350,45.15,57.52,-14.38,34.7,8.02,1.39,하락/역배열,골든크로스(0이하),39.61,50.31
196170,356000,42.62,51.76,21.51,144.0,37.94,640.71,하락/역배열,골든크로스(0이하),14.65,50.08
044990,14120,48.13,44.26,30.05,19.0,31.39,1.92,하락/역배열,골든크로스(0이하),18.91,50.03
004000,50900,45.58,51.09,13.9,17.5,25.15,7.72,하락/역배열,골든크로스(0이하),36.24,49.95
003550,112900,47.95,63.45,-43.85,-277.0,18.75,171.52,하락/역배열,하락추세,20.66,49.85
000725,59200,46.99,47.17,27.12,2.6,34.83,1.57,하락/역배열,골든크로스(0이하),35.19,49.69
004800,200500,48.7,46.66,22.76,11.9,22.1,13.96,정배열,골든크로스(0이하),21.78,49.65
272210,107700,48.11,40.27,53.09,340.1,38.42,475.32,하락/역배열,골든크로스(0이하),65.66,49.45
187420,2230,46.09,54.97,3.78,35.6,12.44,0.3,하락/역배열,골든크로스(0이하),19.72,49.33
020150,55500,47.47,57.33,-8.48,128.3,20.75,32.22,하락/역배열,하락추세,30.09,49.11
271560,135500,53.25,38.33,44.62,-5.4,15.79,28.11,하락/역배열,골든크로스(0이하),17.34,49.09
011210,83800,43.58,54.36,19.15,45.7,21.68,40.71,하락/역배열,골든크로스(0이하),15.48,49.09
000720,140900,48.89,44.57,37.55,-19.8,36.26,643.9,하락/역배열,골든크로스(0이하),30.04,49.05
